// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/ruviru/Projects/FrequencyCalculator/FrequencyCalculator/bin/release/netcoreapp2.2/fbecb089-516a-44c4-acb8-64951ca5f724
// command took 1.8s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/ruviru/Projects/FrequencyCalculator/FrequencyCalculator/bin/release/netcoreapp2.2/fbecb089-516a-44c4-acb8-64951ca5f724
// command took 3.99s and exited with 0
// ***** Done, took 00:00:05 (5.97 sec)   *****
// Found 4 benchmarks:
//   CheckCommonOcccurences.BmGetMostCommonViaLinq: DefaultJob
//   CheckCommonOcccurences.BmGetMostCommonViaDic: DefaultJob
//   CheckCommonOcccurences.BmGetMostCommonViaDoubleLoop: DefaultJob
//   CheckCommonOcccurences.BmGetMostCommonViaDoubleLoopDic: DefaultJob

// **************************
// Benchmark: CheckCommonOcccurences.BmGetMostCommonViaLinq: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "fbecb089-516a-44c4-acb8-64951ca5f724.dll" --benchmarkName "FrequencyCalculator.CheckCommonOcccurences.BmGetMostCommonViaLinq" --job "Default" --benchmarkId 0 in /Users/ruviru/Projects/FrequencyCalculator/FrequencyCalculator/bin/release/netcoreapp2.2/fbecb089-516a-44c4-acb8-64951ca5f724/bin/Release/netcoreapp2.2
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.4 (CoreCLR 4.6.27521.02, CoreFX 4.6.27521.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadActual  17: 512 op, 646801615.00 ns, 1.2633 ms/op
WorkloadActual  18: 512 op, 636727081.00 ns, 1.2436 ms/op
WorkloadActual  19: 512 op, 637658840.00 ns, 1.2454 ms/op
WorkloadActual  20: 512 op, 641975822.00 ns, 1.2539 ms/op
WorkloadActual  21: 512 op, 651870707.00 ns, 1.2732 ms/op
WorkloadActual  22: 512 op, 644367216.00 ns, 1.2585 ms/op
WorkloadActual  23: 512 op, 657541095.00 ns, 1.2843 ms/op
WorkloadActual  24: 512 op, 638122223.00 ns, 1.2463 ms/op
WorkloadActual  25: 512 op, 652013623.00 ns, 1.2735 ms/op
WorkloadActual  26: 512 op, 647295755.00 ns, 1.2642 ms/op

// AfterActualRun
WorkloadResult   1: 512 op, 687472719.50 ns, 1.3427 ms/op
WorkloadResult   2: 512 op, 690940164.50 ns, 1.3495 ms/op
WorkloadResult   3: 512 op, 634966265.50 ns, 1.2402 ms/op
WorkloadResult   4: 512 op, 666328079.50 ns, 1.3014 ms/op
WorkloadResult   5: 512 op, 652397520.50 ns, 1.2742 ms/op
WorkloadResult   6: 512 op, 645142080.50 ns, 1.2600 ms/op
WorkloadResult   7: 512 op, 656015439.50 ns, 1.2813 ms/op
WorkloadResult   8: 512 op, 666718519.50 ns, 1.3022 ms/op
WorkloadResult   9: 512 op, 674453337.50 ns, 1.3173 ms/op
WorkloadResult  10: 512 op, 694506852.50 ns, 1.3565 ms/op
WorkloadResult  11: 512 op, 671354115.50 ns, 1.3112 ms/op
WorkloadResult  12: 512 op, 643516270.50 ns, 1.2569 ms/op
WorkloadResult  13: 512 op, 634319337.50 ns, 1.2389 ms/op
WorkloadResult  14: 512 op, 641967568.50 ns, 1.2538 ms/op
WorkloadResult  15: 512 op, 667853571.50 ns, 1.3044 ms/op
WorkloadResult  16: 512 op, 644181281.50 ns, 1.2582 ms/op
WorkloadResult  17: 512 op, 646800209.50 ns, 1.2633 ms/op
WorkloadResult  18: 512 op, 636725675.50 ns, 1.2436 ms/op
WorkloadResult  19: 512 op, 637657434.50 ns, 1.2454 ms/op
WorkloadResult  20: 512 op, 641974416.50 ns, 1.2539 ms/op
WorkloadResult  21: 512 op, 651869301.50 ns, 1.2732 ms/op
WorkloadResult  22: 512 op, 644365810.50 ns, 1.2585 ms/op
WorkloadResult  23: 512 op, 657539689.50 ns, 1.2843 ms/op
WorkloadResult  24: 512 op, 638120817.50 ns, 1.2463 ms/op
WorkloadResult  25: 512 op, 652012217.50 ns, 1.2735 ms/op
WorkloadResult  26: 512 op, 647294349.50 ns, 1.2642 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 1.2790 ms, StdErr = 0.0067 ms (0.53%); N = 26, StdDev = 0.0343 ms
Min = 1.2389 ms, Q1 = 1.2539 ms, Median = 1.2687 ms, Q3 = 1.3022 ms, Max = 1.3565 ms
IQR = 0.0483 ms, LowerFence = 1.1814 ms, UpperFence = 1.3747 ms
ConfidenceInterval = [1.2540 ms; 1.3041 ms] (CI 99.9%), Margin = 0.0250 ms (1.96% of Mean)
Skewness = 0.85, Kurtosis = 2.56, MValue = 2.46

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/FrequencyCalculator.CheckCommonOcccurences-report.csv
  BenchmarkDotNet.Artifacts/results/FrequencyCalculator.CheckCommonOcccurences-report-github.md
  BenchmarkDotNet.Artifacts/results/FrequencyCalculator.CheckCommonOcccurences-report.html

// * Detailed results *
CheckCommonOcccurences.BmGetMostCommonViaLinq: DefaultJob
Runtime = .NET Core 2.2.4 (CoreCLR 4.6.27521.02, CoreFX 4.6.27521.01), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 399.1166 us, StdErr = 1.8642 us (0.47%); N = 15, StdDev = 7.2198 us
Min = 386.6847 us, Q1 = 390.6062 us, Median = 400.3147 us, Q3 = 405.1782 us, Max = 408.4832 us
IQR = 14.5719 us, LowerFence = 368.7483 us, UpperFence = 427.0361 us
ConfidenceInterval = [391.3982 us; 406.8351 us] (CI 99.9%), Margin = 7.7184 us (1.93% of Mean)
Skewness = -0.38, Kurtosis = 1.49, MValue = 2
-------------------- Histogram --------------------
[384.123 us ; 395.180 us) | @@@@@
[395.180 us ; 408.835 us) | @@@@@@@@@@
---------------------------------------------------

CheckCommonOcccurences.BmGetMostCommonViaDic: DefaultJob
Runtime = .NET Core 2.2.4 (CoreCLR 4.6.27521.02, CoreFX 4.6.27521.01), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 7.5681 ms, StdErr = 0.0243 ms (0.32%); N = 13, StdDev = 0.0875 ms
Min = 7.3839 ms, Q1 = 7.5198 ms, Median = 7.5652 ms, Q3 = 7.6173 ms, Max = 7.7458 ms
IQR = 0.0975 ms, LowerFence = 7.3736 ms, UpperFence = 7.7635 ms
ConfidenceInterval = [7.4633 ms; 7.6728 ms] (CI 99.9%), Margin = 0.1048 ms (1.38% of Mean)
Skewness = -0.12, Kurtosis = 3, MValue = 2
-------------------- Histogram --------------------
[7.351 ms ; 7.518 ms) | @@
[7.518 ms ; 7.778 ms) | @@@@@@@@@@@
---------------------------------------------------

CheckCommonOcccurences.BmGetMostCommonViaDoubleLoop: DefaultJob
Runtime = .NET Core 2.2.4 (CoreCLR 4.6.27521.02, CoreFX 4.6.27521.01), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 28.3396 ms, StdErr = 0.0810 ms (0.29%); N = 15, StdDev = 0.3136 ms
Min = 27.7651 ms, Q1 = 28.0093 ms, Median = 28.4254 ms, Q3 = 28.6044 ms, Max = 28.7051 ms
IQR = 0.5951 ms, LowerFence = 27.1166 ms, UpperFence = 29.4971 ms
ConfidenceInterval = [28.0043 ms; 28.6748 ms] (CI 99.9%), Margin = 0.3353 ms (1.18% of Mean)
Skewness = -0.48, Kurtosis = 1.65, MValue = 2
-------------------- Histogram --------------------
[27.654 ms ; 28.816 ms) | @@@@@@@@@@@@@@@
---------------------------------------------------

CheckCommonOcccurences.BmGetMostCommonViaDoubleLoopDic: DefaultJob
Runtime = .NET Core 2.2.4 (CoreCLR 4.6.27521.02, CoreFX 4.6.27521.01), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 1.2790 ms, StdErr = 0.0067 ms (0.53%); N = 26, StdDev = 0.0343 ms
Min = 1.2389 ms, Q1 = 1.2539 ms, Median = 1.2687 ms, Q3 = 1.3022 ms, Max = 1.3565 ms
IQR = 0.0483 ms, LowerFence = 1.1814 ms, UpperFence = 1.3747 ms
ConfidenceInterval = [1.2540 ms; 1.3041 ms] (CI 99.9%), Margin = 0.0250 ms (1.96% of Mean)
Skewness = 0.85, Kurtosis = 2.56, MValue = 2.46
-------------------- Histogram --------------------
[1.229 ms ; 1.267 ms) | @@@@@@@@@@@@@
[1.267 ms ; 1.296 ms) | @@@@@
[1.296 ms ; 1.363 ms) | @@@@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.11.5, OS=macOS Sierra 10.12.6 (16G1815) [Darwin 16.7.0]
Intel Core i5-7360U CPU 2.30GHz (Kaby Lake), 1 CPU, 4 logical and 2 physical cores
.NET Core SDK=2.2.106
  [Host]     : .NET Core 2.2.4 (CoreCLR 4.6.27521.02, CoreFX 4.6.27521.01), 64bit RyuJIT
  DefaultJob : .NET Core 2.2.4 (CoreCLR 4.6.27521.02, CoreFX 4.6.27521.01), 64bit RyuJIT


|                          Method |        Mean |      Error |     StdDev |
|-------------------------------- |------------:|-----------:|-----------:|
|          BmGetMostCommonViaLinq |    399.1 us |   7.718 us |   7.220 us |
|           BmGetMostCommonViaDic |  7,568.1 us | 104.767 us |  87.485 us |
|    BmGetMostCommonViaDoubleLoop | 28,339.6 us | 335.253 us | 313.596 us |
| BmGetMostCommonViaDoubleLoopDic |  1,279.0 us |  25.026 us |  34.255 us |

// * Hints *
Outliers
  CheckCommonOcccurences.BmGetMostCommonViaDic: Default -> 2 outliers were removed (7.90 ms, 8.05 ms)

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 us   : 1 Microsecond (0.000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:01:31 (91.09 sec), executed benchmarks: 4

Global total time: 00:01:37 (97.08 sec), executed benchmarks: 4
// * Artifacts cleanup *
