// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/ruviru/Projects/FrequencyCalculator/FrequencyCalculator/bin/release/netcoreapp2.2/d4964080-ecfd-4d30-9cd8-010758790a9d
// command took 2.12s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/ruviru/Projects/FrequencyCalculator/FrequencyCalculator/bin/release/netcoreapp2.2/d4964080-ecfd-4d30-9cd8-010758790a9d
// command took 4.18s and exited with 0
// ***** Done, took 00:00:06 (6.47 sec)   *****
// Found 4 benchmarks:
//   CheckCommonOcccurences.BmGetMostCommonViaLinq: DefaultJob
//   CheckCommonOcccurences.BmGetMostCommonViaDic: DefaultJob
//   CheckCommonOcccurences.BmGetMostCommonViaDoubleLoop: DefaultJob
//   CheckCommonOcccurences.BmGetMostCommonViaSubLoopDic: DefaultJob

// **************************
// Benchmark: CheckCommonOcccurences.BmGetMostCommonViaLinq: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d4964080-ecfd-4d30-9cd8-010758790a9d.dll" --benchmarkName "FrequencyCalculator.CheckCommonOcccurences.BmGetMostCommonViaLinq" --job "Default" --benchmarkId 0 in /Users/ruviru/Projects/FrequencyCalculator/FrequencyCalculator/bin/release/netcoreapp2.2/d4964080-ecfd-4d30-9cd8-010758790a9d/bin/Release/netcoreapp2.2
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.4 (CoreCLR 4.6.27521.02, CoreFX 4.6.27521.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

IQR = 0.0257 s, LowerFence = 0.9573 s, UpperFence = 1.0602 s
ConfidenceInterval = [0.9922 s; 1.0212 s] (CI 99.9%), Margin = 0.0145 s (1.44% of Mean)
Skewness = 0.12, Kurtosis = 1.53, MValue = 2
-------------------- Histogram --------------------
[ 982.098 ms ; 1009.897 ms) | @@@@@@@@@
[1009.897 ms ; 1031.123 ms) | @@@@@@
---------------------------------------------------

CheckCommonOcccurences.BmGetMostCommonViaDoubleLoop: DefaultJob
Runtime = .NET Core 2.2.4 (CoreCLR 4.6.27521.02, CoreFX 4.6.27521.01), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 2.8751 s, StdErr = 0.0080 s (0.28%); N = 13, StdDev = 0.0287 s
Min = 2.8261 s, Q1 = 2.8567 s, Median = 2.8741 s, Q3 = 2.8854 s, Max = 2.9463 s
IQR = 0.0287 s, LowerFence = 2.8137 s, UpperFence = 2.9285 s
ConfidenceInterval = [2.8407 s; 2.9095 s] (CI 99.9%), Margin = 0.0344 s (1.20% of Mean)
Skewness = 0.71, Kurtosis = 3.7, MValue = 2
-------------------- Histogram --------------------
[2.815 s ; 2.957 s) | @@@@@@@@@@@@@
---------------------------------------------------

CheckCommonOcccurences.BmGetMostCommonViaSubLoopDic: DefaultJob
Runtime = .NET Core 2.2.4 (CoreCLR 4.6.27521.02, CoreFX 4.6.27521.01), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 293.3232 ms, StdErr = 1.6248 ms (0.55%); N = 45, StdDev = 10.8995 ms
Min = 279.0350 ms, Q1 = 284.9132 ms, Median = 290.6902 ms, Q3 = 301.0978 ms, Max = 321.3142 ms
IQR = 16.1846 ms, LowerFence = 260.6363 ms, UpperFence = 325.3748 ms
ConfidenceInterval = [287.5945 ms; 299.0519 ms] (CI 99.9%), Margin = 5.7287 ms (1.95% of Mean)
Skewness = 0.97, Kurtosis = 3.12, MValue = 2
-------------------- Histogram --------------------
[278.009 ms ; 283.666 ms) | @@@@@@
[283.666 ms ; 294.117 ms) | @@@@@@@@@@@@@@@@@@@@@@@
[294.117 ms ; 305.602 ms) | @@@@@@@@@@
[305.602 ms ; 323.456 ms) | @@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.11.5, OS=macOS Sierra 10.12.6 (16G1815) [Darwin 16.7.0]
Intel Core i5-7360U CPU 2.30GHz (Kaby Lake), 1 CPU, 4 logical and 2 physical cores
.NET Core SDK=2.2.106
  [Host]     : .NET Core 2.2.4 (CoreCLR 4.6.27521.02, CoreFX 4.6.27521.01), 64bit RyuJIT
  DefaultJob : .NET Core 2.2.4 (CoreCLR 4.6.27521.02, CoreFX 4.6.27521.01), 64bit RyuJIT


|                       Method |        Mean |      Error |     StdDev |
|----------------------------- |------------:|-----------:|-----------:|
|       BmGetMostCommonViaLinq |    10.21 ms |  0.1408 ms |  0.1317 ms |
|        BmGetMostCommonViaDic | 1,006.71 ms | 14.4683 ms | 13.5337 ms |
| BmGetMostCommonViaDoubleLoop | 2,875.14 ms | 34.4142 ms | 28.7374 ms |
| BmGetMostCommonViaSubLoopDic |   293.32 ms |  5.7287 ms | 10.8995 ms |

// * Hints *
Outliers
  CheckCommonOcccurences.BmGetMostCommonViaDoubleLoop: Default -> 2 outliers were removed (2.97 s, 3.09 s)
  CheckCommonOcccurences.BmGetMostCommonViaSubLoopDic: Default -> 3 outliers were removed (331.08 ms..397.74 ms)

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 ms   : 1 Millisecond (0.001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:02:17 (137.54 sec), executed benchmarks: 4

Global total time: 00:02:24 (144.02 sec), executed benchmarks: 4
// * Artifacts cleanup *
